sex,age,L,M,S
F,2,1.0000 ,57.0673 ,0.0357 
F,3,1.0000 ,59.8029 ,0.0352 
F,4,1.0000 ,62.0899 ,0.0349 
F,5,1.0000 ,64.0301 ,0.0346 
F,6,1.0000 ,65.7311 ,0.0345 
F,7,1.0000 ,67.2873 ,0.0344 
F,8,1.0000 ,68.7498 ,0.0344 
F,9,1.0000 ,70.1435 ,0.0344 
F,10,1.0000 ,71.4818 ,0.0345 
F,11,1.0000 ,72.7710 ,0.0346 
F,12,1.0000 ,74.0150 ,0.0348 
F,13,1.0000 ,75.2176 ,0.0350 
F,14,1.0000 ,76.3817 ,0.0351 
F,15,1.0000 ,77.5099 ,0.0353 
F,16,1.0000 ,78.6055 ,0.0356 
F,17,1.0000 ,79.6710 ,0.0358 
F,18,1.0000 ,80.7079 ,0.0360 
F,19,1.0000 ,81.7182 ,0.0362 
F,20,1.0000 ,82.7036 ,0.0364 
F,21,1.0000 ,83.6654 ,0.0367 
F,22,1.0000 ,84.6040 ,0.0369 
F,23,1.0000 ,85.5202 ,0.0371 
F,24,1.0000 ,85.7153 ,0.0376 
F,25,1.0000 ,86.5904 ,0.0379 
F,26,1.0000 ,87.4462 ,0.0381 
F,27,1.0000 ,88.2830 ,0.0383 
F,28,1.0000 ,89.1004 ,0.0385 
F,29,1.0000 ,89.8991 ,0.0387 
F,30,1.0000 ,90.6797 ,0.0389 
F,31,1.0000 ,91.4430 ,0.0391 
F,32,1.0000 ,92.1906 ,0.0393 
F,33,1.0000 ,92.9239 ,0.0395 
F,34,1.0000 ,93.6444 ,0.0397 
F,35,1.0000 ,94.3533 ,0.0399 
F,36,0.5472 ,95.4078 ,0.0413 
F,37,0.4997 ,95.9472 ,0.0412 
F,38,0.4525 ,96.4867 ,0.0411 
F,39,0.4056 ,97.0262 ,0.0410 
F,40,0.3590 ,97.5658 ,0.0409 
F,41,0.3126 ,98.1054 ,0.0408 
F,42,0.2825 ,98.6465 ,0.0407 
F,43,0.2526 ,99.1877 ,0.0406 
F,44,0.2229 ,99.7288 ,0.0405 
F,45,0.1934 ,100.2700 ,0.0404 
F,46,0.1640 ,100.8113 ,0.0403 
F,47,0.1348 ,101.3525 ,0.0402 
F,48,0.1129 ,101.8943 ,0.0401 
F,49,0.0912 ,102.4361 ,0.0400 
F,50,0.0695 ,102.9779 ,0.0399 
F,51,0.0480 ,103.5197 ,0.0398 
F,52,0.0267 ,104.0616 ,0.0397 
F,53,0.0054 ,104.6034 ,0.0396 
F,54,-0.0216 ,105.1425 ,0.0395 
F,55,-0.0484 ,105.6816 ,0.0395 
F,56,-0.0751 ,106.2208 ,0.0394 
F,57,-0.1016 ,106.7600 ,0.0393 
F,58,-0.1280 ,107.2992 ,0.0392 
F,59,-0.1543 ,107.8384 ,0.0391 
F,60,-0.1404 ,108.3714 ,0.0390 
F,61,-0.1266 ,108.9045 ,0.0390 
F,62,-0.1130 ,109.4375 ,0.0389 
F,63,-0.0994 ,109.9706 ,0.0389 
F,64,-0.0860 ,110.5036 ,0.0388 
F,65,-0.0726 ,111.0366 ,0.0388 
F,66,-0.0272 ,111.5656 ,0.0388 
F,67,0.0175 ,112.0946 ,0.0388 
F,68,0.0614 ,112.6235 ,0.0388 
F,69,0.1047 ,113.1523 ,0.0388 
F,70,0.1472 ,113.6811 ,0.0388 
F,71,0.1891 ,114.2098 ,0.0388 
F,72,0.2115 ,114.7289 ,0.0388 
F,73,0.2335 ,115.2479 ,0.0388 
F,74,0.2550 ,115.7670 ,0.0389 
F,75,0.2762 ,116.2860 ,0.0389 
F,76,0.2970 ,116.8050 ,0.0390 
F,77,0.3174 ,117.3240 ,0.0390 
F,78,0.2769 ,117.8257 ,0.0391 
F,79,0.2373 ,118.3274 ,0.0391 
F,80,0.1986 ,118.8292 ,0.0392 
F,81,0.1606 ,119.3310 ,0.0393 
F,82,0.1235 ,119.8329 ,0.0394 
F,83,0.0872 ,120.3348 ,0.0394 
F,84,0.0163 ,120.8229 ,0.0396 
F,85,-0.0528 ,121.3110 ,0.0397 
F,86,-0.1201 ,121.7993 ,0.0398 
F,87,-0.1857 ,122.2876 ,0.0399 
F,88,-0.2496 ,122.7761 ,0.0400 
F,89,-0.3119 ,123.2646 ,0.0401 
F,90,-0.3571 ,123.7505 ,0.0402 
